face,outcome,cos_bin_low,cos_bin_high,count
+Z,NON_ESCAPE,0.0,0.0005,93
+Z,NON_ESCAPE,0.0005,0.001,259
+Z,NON_ESCAPE,0.001,0.0015,439
+Z,NON_ESCAPE,0.0015,0.002,623
+Z,NON_ESCAPE,0.002,0.0025,822
+Z,NON_ESCAPE,0.0025,0.003,963
+Z,NON_ESCAPE,0.003,0.0035,1200
+Z,NON_ESCAPE,0.0035,0.004,1425
+Z,NON_ESCAPE,0.004,0.0045,1585
+Z,NON_ESCAPE,0.0045,0.005,1714
+Z,NON_ESCAPE,0.005,0.0055,1962
+Z,NON_ESCAPE,0.0055,0.006,2098
+Z,NON_ESCAPE,0.006,0.0065,2303
+Z,NON_ESCAPE,0.0065,0.007,2497
+Z,NON_ESCAPE,0.007,0.0075,2577
+Z,NON_ESCAPE,0.0075,0.008,2917
+Z,NON_ESCAPE,0.008,0.0085,2999
+Z,NON_ESCAPE,0.0085,0.009,3204
+Z,NON_ESCAPE,0.009,0.0095,3480
+Z,NON_ESCAPE,0.0095,0.01,3513
+Z,NON_ESCAPE,0.01,0.0105,3782
+Z,NON_ESCAPE,0.0105,0.011,3957
+Z,NON_ESCAPE,0.011,0.0115,4120
+Z,NON_ESCAPE,0.0115,0.012,4253
+Z,NON_ESCAPE,0.012,0.0125,4509
+Z,NON_ESCAPE,0.0125,0.013,4599
+Z,NON_ESCAPE,0.013,0.0135,4799
+Z,NON_ESCAPE,0.0135,0.014,4992
+Z,NON_ESCAPE,0.014,0.0145,5111
+Z,NON_ESCAPE,0.0145,0.015,5350
+Z,NON_ESCAPE,0.015,0.0155,5364
+Z,NON_ESCAPE,0.0155,0.016,5628
+Z,NON_ESCAPE,0.016,0.0165,5734
+Z,NON_ESCAPE,0.0165,0.017,5998
+Z,NON_ESCAPE,0.017,0.0175,6082
+Z,NON_ESCAPE,0.0175,0.018,6369
+Z,NON_ESCAPE,0.018,0.0185,6403
+Z,NON_ESCAPE,0.0185,0.019,6715
+Z,NON_ESCAPE,0.019,0.0195,6724
+Z,NON_ESCAPE,0.0195,0.02,6811
+Z,NON_ESCAPE,0.02,0.0205,6978
+Z,NON_ESCAPE,0.0205,0.021,7211
+Z,NON_ESCAPE,0.021,0.0215,7493
+Z,NON_ESCAPE,0.0215,0.022,7666
+Z,NON_ESCAPE,0.022,0.0225,7741
+Z,NON_ESCAPE,0.0225,0.023,7989
+Z,NON_ESCAPE,0.023,0.0235,8050
+Z,NON_ESCAPE,0.0235,0.024,8126
+Z,NON_ESCAPE,0.024,0.0245,8444
+Z,NON_ESCAPE,0.0245,0.025,8529
+Z,NON_ESCAPE,0.025,0.0255,8807
+Z,NON_ESCAPE,0.0255,0.026,8824
+Z,NON_ESCAPE,0.026,0.0265,9071
+Z,NON_ESCAPE,0.0265,0.027,9087
+Z,NON_ESCAPE,0.027,0.0275,9467
+Z,NON_ESCAPE,0.0275,0.028,9468
+Z,NON_ESCAPE,0.028,0.0285,9618
+Z,NON_ESCAPE,0.0285,0.029,9879
+Z,NON_ESCAPE,0.029,0.0295,9983
+Z,NON_ESCAPE,0.0295,0.03,9994
+Z,NON_ESCAPE,0.03,0.0305,10212
+Z,NON_ESCAPE,0.0305,0.031,10428
+Z,NON_ESCAPE,0.031,0.0315,10803
+Z,NON_ESCAPE,0.0315,0.032,10817
+Z,NON_ESCAPE,0.032,0.0325,10928
+Z,NON_ESCAPE,0.0325,0.033,11148
+Z,NON_ESCAPE,0.033,0.0335,11212
+Z,NON_ESCAPE,0.0335,0.034,11495
+Z,NON_ESCAPE,0.034,0.0345,11474
+Z,NON_ESCAPE,0.0345,0.035,11699
+Z,NON_ESCAPE,0.035,0.0355,11852
+Z,NON_ESCAPE,0.0355,0.036,11893
+Z,NON_ESCAPE,0.036,0.0365,11942
+Z,NON_ESCAPE,0.0365,0.037,12301
+Z,NON_ESCAPE,0.037,0.0375,12344
+Z,NON_ESCAPE,0.0375,0.038,12557
+Z,NON_ESCAPE,0.038,0.0385,12689
+Z,NON_ESCAPE,0.0385,0.039,12915
+Z,NON_ESCAPE,0.039,0.0395,12928
+Z,NON_ESCAPE,0.0395,0.04,13072
+Z,NON_ESCAPE,0.04,0.0405,13285
+Z,NON_ESCAPE,0.0405,0.041,13298
+Z,NON_ESCAPE,0.041,0.0415,13599
+Z,NON_ESCAPE,0.0415,0.042,13868
+Z,NON_ESCAPE,0.042,0.0425,13915
+Z,NON_ESCAPE,0.0425,0.043,14123
+Z,NON_ESCAPE,0.043,0.0435,14176
+Z,NON_ESCAPE,0.0435,0.044,14205
+Z,NON_ESCAPE,0.044,0.0445,14266
+Z,NON_ESCAPE,0.0445,0.045,14550
+Z,NON_ESCAPE,0.045,0.0455,14664
+Z,NON_ESCAPE,0.0455,0.046,14757
+Z,NON_ESCAPE,0.046,0.0465,15011
+Z,NON_ESCAPE,0.0465,0.047,15238
+Z,NON_ESCAPE,0.047,0.0475,15311
+Z,NON_ESCAPE,0.0475,0.048,15605
+Z,NON_ESCAPE,0.048,0.0485,15736
+Z,NON_ESCAPE,0.0485,0.049,15708
+Z,NON_ESCAPE,0.049,0.0495,16102
+Z,NON_ESCAPE,0.0495,0.05,15906
+Z,NON_ESCAPE,0.05,0.0505,16238
+Z,NON_ESCAPE,0.0505,0.051,16168
+Z,NON_ESCAPE,0.051,0.0515,16340
+Z,NON_ESCAPE,0.0515,0.052,16522
+Z,NON_ESCAPE,0.052,0.0525,16605
+Z,NON_ESCAPE,0.0525,0.053,16844
+Z,NON_ESCAPE,0.053,0.0535,17005
+Z,NON_ESCAPE,0.0535,0.054,17068
+Z,NON_ESCAPE,0.054,0.0545,17121
+Z,NON_ESCAPE,0.0545,0.055,17117
+Z,NON_ESCAPE,0.055,0.0555,17340
+Z,NON_ESCAPE,0.0555,0.056,17632
+Z,NON_ESCAPE,0.056,0.0565,17725
+Z,NON_ESCAPE,0.0565,0.057,17902
+Z,NON_ESCAPE,0.057,0.0575,17934
+Z,NON_ESCAPE,0.0575,0.058,17954
+Z,NON_ESCAPE,0.058,0.0585,17842
+Z,NON_ESCAPE,0.0585,0.059,18315
+Z,NON_ESCAPE,0.059,0.0595,18332
+Z,NON_ESCAPE,0.0595,0.06,18459
+Z,NON_ESCAPE,0.06,0.0605,18511
+Z,NON_ESCAPE,0.0605,0.061,18739
+Z,NON_ESCAPE,0.061,0.0615,18831
+Z,NON_ESCAPE,0.0615,0.062,18998
+Z,NON_ESCAPE,0.062,0.0625,19021
+Z,NON_ESCAPE,0.0625,0.063,19186
+Z,NON_ESCAPE,0.063,0.0635,19108
+Z,NON_ESCAPE,0.0635,0.064,19290
+Z,NON_ESCAPE,0.064,0.0645,19765
+Z,NON_ESCAPE,0.0645,0.065,19671
+Z,NON_ESCAPE,0.065,0.0655,19633
+Z,NON_ESCAPE,0.0655,0.066,19879
+Z,NON_ESCAPE,0.066,0.0665,19874
+Z,NON_ESCAPE,0.0665,0.067,19742
+Z,NON_ESCAPE,0.067,0.0675,20046
+Z,NON_ESCAPE,0.0675,0.068,20131
+Z,NON_ESCAPE,0.068,0.0685,20432
+Z,NON_ESCAPE,0.0685,0.069,20512
+Z,NON_ESCAPE,0.069,0.0695,20628
+Z,NON_ESCAPE,0.0695,0.07,20754
+Z,NON_ESCAPE,0.07,0.0705,20943
+Z,NON_ESCAPE,0.0705,0.071,20957
+Z,NON_ESCAPE,0.071,0.0715,20943
+Z,NON_ESCAPE,0.0715,0.072,21135
+Z,NON_ESCAPE,0.072,0.0725,21128
+Z,NON_ESCAPE,0.0725,0.073,21182
+Z,NON_ESCAPE,0.073,0.0735,21363
+Z,NON_ESCAPE,0.0735,0.074,21534
+Z,NON_ESCAPE,0.074,0.0745,21373
+Z,NON_ESCAPE,0.0745,0.075,21709
+Z,NON_ESCAPE,0.075,0.0755,21879
+Z,NON_ESCAPE,0.0755,0.076,21775
+Z,NON_ESCAPE,0.076,0.0765,22067
+Z,NON_ESCAPE,0.0765,0.077,22051
+Z,NON_ESCAPE,0.077,0.0775,22052
+Z,NON_ESCAPE,0.0775,0.078,22585
+Z,NON_ESCAPE,0.078,0.0785,22442
+Z,NON_ESCAPE,0.0785,0.079,22662
+Z,NON_ESCAPE,0.079,0.0795,22538
+Z,NON_ESCAPE,0.0795,0.08,22831
+Z,NON_ESCAPE,0.08,0.0805,22994
+Z,NON_ESCAPE,0.0805,0.081,22941
+Z,NON_ESCAPE,0.081,0.0815,23098
+Z,NON_ESCAPE,0.0815,0.082,23207
+Z,NON_ESCAPE,0.082,0.0825,23369
+Z,NON_ESCAPE,0.0825,0.083,23170
+Z,NON_ESCAPE,0.083,0.0835,23557
+Z,NON_ESCAPE,0.0835,0.084,23491
+Z,NON_ESCAPE,0.084,0.0845,23498
+Z,NON_ESCAPE,0.0845,0.085,23675
+Z,NON_ESCAPE,0.085,0.0855,24109
+Z,NON_ESCAPE,0.0855,0.086,23966
+Z,NON_ESCAPE,0.086,0.0865,24433
+Z,NON_ESCAPE,0.0865,0.087,24067
+Z,NON_ESCAPE,0.087,0.0875,24263
+Z,NON_ESCAPE,0.0875,0.088,24409
+Z,NON_ESCAPE,0.088,0.0885,24341
+Z,NON_ESCAPE,0.0885,0.089,24735
+Z,NON_ESCAPE,0.089,0.0895,25032
+Z,NON_ESCAPE,0.0895,0.09,24861
+Z,NON_ESCAPE,0.09,0.0905,24770
+Z,NON_ESCAPE,0.0905,0.091,24910
+Z,NON_ESCAPE,0.091,0.0915,25165
+Z,NON_ESCAPE,0.0915,0.092,25200
+Z,NON_ESCAPE,0.092,0.0925,25402
+Z,NON_ESCAPE,0.0925,0.093,25138
+Z,NON_ESCAPE,0.093,0.0935,25608
+Z,NON_ESCAPE,0.0935,0.094,25506
+Z,NON_ESCAPE,0.094,0.0945,25372
+Z,NON_ESCAPE,0.0945,0.095,25840
+Z,NON_ESCAPE,0.095,0.0955,26045
+Z,NON_ESCAPE,0.0955,0.096,25859
+Z,NON_ESCAPE,0.096,0.0965,25934
+Z,NON_ESCAPE,0.0965,0.097,25974
+Z,NON_ESCAPE,0.097,0.0975,26213
+Z,NON_ESCAPE,0.0975,0.098,26343
+Z,NON_ESCAPE,0.098,0.0985,26365
+Z,NON_ESCAPE,0.0985,0.099,26278
+Z,NON_ESCAPE,0.099,0.0995,26754
+Z,NON_ESCAPE,0.0995,0.1,26775
+Z,NON_ESCAPE,0.1,0.1005,26548
+Z,NON_ESCAPE,0.1005,0.101,26862
+Z,NON_ESCAPE,0.101,0.1015,27098
+Z,NON_ESCAPE,0.1015,0.102,27065
+Z,NON_ESCAPE,0.102,0.1025,26982
+Z,NON_ESCAPE,0.1025,0.103,27422
+Z,NON_ESCAPE,0.103,0.1035,27366
+Z,NON_ESCAPE,0.1035,0.104,27403
+Z,NON_ESCAPE,0.104,0.1045,27307
+Z,NON_ESCAPE,0.1045,0.105,27309
+Z,NON_ESCAPE,0.105,0.1055,27690
+Z,NON_ESCAPE,0.1055,0.106,27652
+Z,NON_ESCAPE,0.106,0.1065,27477
+Z,NON_ESCAPE,0.1065,0.107,27938
+Z,NON_ESCAPE,0.107,0.1075,28038
+Z,NON_ESCAPE,0.1075,0.108,28162
+Z,NON_ESCAPE,0.108,0.1085,28563
+Z,NON_ESCAPE,0.1085,0.109,28299
+Z,NON_ESCAPE,0.109,0.1095,28207
+Z,NON_ESCAPE,0.1095,0.11,28483
+Z,NON_ESCAPE,0.11,0.1105,28322
+Z,NON_ESCAPE,0.1105,0.111,28570
+Z,NON_ESCAPE,0.111,0.1115,28602
+Z,NON_ESCAPE,0.1115,0.112,28421
+Z,NON_ESCAPE,0.112,0.1125,28920
+Z,NON_ESCAPE,0.1125,0.113,28924
+Z,NON_ESCAPE,0.113,0.1135,29270
+Z,NON_ESCAPE,0.1135,0.114,28833
+Z,NON_ESCAPE,0.114,0.1145,29325
+Z,NON_ESCAPE,0.1145,0.115,29578
+Z,NON_ESCAPE,0.115,0.1155,29656
+Z,NON_ESCAPE,0.1155,0.116,29468
+Z,NON_ESCAPE,0.116,0.1165,29548
+Z,NON_ESCAPE,0.1165,0.117,30081
+Z,NON_ESCAPE,0.117,0.1175,29901
+Z,NON_ESCAPE,0.1175,0.118,29695
+Z,NON_ESCAPE,0.118,0.1185,29813
+Z,NON_ESCAPE,0.1185,0.119,30065
+Z,NON_ESCAPE,0.119,0.1195,30150
+Z,NON_ESCAPE,0.1195,0.12,29955
+Z,NON_ESCAPE,0.12,0.1205,30372
+Z,NON_ESCAPE,0.1205,0.121,30592
+Z,NON_ESCAPE,0.121,0.1215,30626
+Z,NON_ESCAPE,0.1215,0.122,30428
+Z,NON_ESCAPE,0.122,0.1225,30563
+Z,NON_ESCAPE,0.1225,0.123,30497
+Z,NON_ESCAPE,0.123,0.1235,30445
+Z,NON_ESCAPE,0.1235,0.124,31003
+Z,NON_ESCAPE,0.124,0.1245,30758
+Z,NON_ESCAPE,0.1245,0.125,31015
+Z,NON_ESCAPE,0.125,0.1255,30949
+Z,NON_ESCAPE,0.1255,0.126,31304
+Z,NON_ESCAPE,0.126,0.1265,31208
+Z,NON_ESCAPE,0.1265,0.127,30931
+Z,NON_ESCAPE,0.127,0.1275,31156
+Z,NON_ESCAPE,0.1275,0.128,31338
+Z,NON_ESCAPE,0.128,0.1285,31600
+Z,NON_ESCAPE,0.1285,0.129,31544
+Z,NON_ESCAPE,0.129,0.1295,31589
