face,outcome,cos_bin_low,cos_bin_high,count
+Z,NON_ESCAPE,0.0,0.0005,87
+Z,NON_ESCAPE,0.0005,0.001,251
+Z,NON_ESCAPE,0.001,0.0015,426
+Z,NON_ESCAPE,0.0015,0.002,617
+Z,NON_ESCAPE,0.002,0.0025,788
+Z,NON_ESCAPE,0.0025,0.003,968
+Z,NON_ESCAPE,0.003,0.0035,1190
+Z,NON_ESCAPE,0.0035,0.004,1425
+Z,NON_ESCAPE,0.004,0.0045,1599
+Z,NON_ESCAPE,0.0045,0.005,1707
+Z,NON_ESCAPE,0.005,0.0055,1902
+Z,NON_ESCAPE,0.0055,0.006,2113
+Z,NON_ESCAPE,0.006,0.0065,2314
+Z,NON_ESCAPE,0.0065,0.007,2554
+Z,NON_ESCAPE,0.007,0.0075,2620
+Z,NON_ESCAPE,0.0075,0.008,2918
+Z,NON_ESCAPE,0.008,0.0085,2982
+Z,NON_ESCAPE,0.0085,0.009,3198
+Z,NON_ESCAPE,0.009,0.0095,3445
+Z,NON_ESCAPE,0.0095,0.01,3561
+Z,NON_ESCAPE,0.01,0.0105,3741
+Z,NON_ESCAPE,0.0105,0.011,3925
+Z,NON_ESCAPE,0.011,0.0115,4097
+Z,NON_ESCAPE,0.0115,0.012,4220
+Z,NON_ESCAPE,0.012,0.0125,4564
+Z,NON_ESCAPE,0.0125,0.013,4612
+Z,NON_ESCAPE,0.013,0.0135,4797
+Z,NON_ESCAPE,0.0135,0.014,4972
+Z,NON_ESCAPE,0.014,0.0145,5066
+Z,NON_ESCAPE,0.0145,0.015,5247
+Z,NON_ESCAPE,0.015,0.0155,5394
+Z,NON_ESCAPE,0.0155,0.016,5643
+Z,NON_ESCAPE,0.016,0.0165,5788
+Z,NON_ESCAPE,0.0165,0.017,5895
+Z,NON_ESCAPE,0.017,0.0175,6080
+Z,NON_ESCAPE,0.0175,0.018,6334
+Z,NON_ESCAPE,0.018,0.0185,6427
