face,outcome,cos_bin_low,cos_bin_high,count
+Z,NON_ESCAPE,0.0,0.0005,70
+Z,NON_ESCAPE,0.0005,0.001,227
+Z,NON_ESCAPE,0.001,0.0015,417
+Z,NON_ESCAPE,0.0015,0.002,595
+Z,NON_ESCAPE,0.002,0.0025,780
+Z,NON_ESCAPE,0.0025,0.003,913
+Z,NON_ESCAPE,0.003,0.0035,1092
+Z,NON_ESCAPE,0.0035,0.004,1308
+Z,NON_ESCAPE,0.004,0.0045,1411
+Z,NON_ESCAPE,0.0045,0.005,1538
+Z,NON_ESCAPE,0.005,0.0055,1787
+Z,NON_ESCAPE,0.0055,0.006,1946
+Z,NON_ESCAPE,0.006,0.0065,2119
+Z,NON_ESCAPE,0.0065,0.007,2248
+Z,NON_ESCAPE,0.007,0.0075,2456
+Z,NON_ESCAPE,0.0075,0.008,2641
+Z,NON_ESCAPE,0.008,0.0085,2808
+Z,NON_ESCAPE,0.0085,0.009,2869
+Z,NON_ESCAPE,0.009,0.0095,3177
+Z,NON_ESCAPE,0.0095,0.01,3262
+Z,NON_ESCAPE,0.01,0.0105,3465
+Z,NON_ESCAPE,0.0105,0.011,3538
+Z,NON_ESCAPE,0.011,0.0115,3634
+Z,NON_ESCAPE,0.0115,0.012,3824
+Z,NON_ESCAPE,0.012,0.0125,4127
+Z,NON_ESCAPE,0.0125,0.013,4141
+Z,NON_ESCAPE,0.013,0.0135,4328
+Z,NON_ESCAPE,0.0135,0.014,4638
+Z,NON_ESCAPE,0.014,0.0145,4714
+Z,NON_ESCAPE,0.0145,0.015,4966
+Z,NON_ESCAPE,0.015,0.0155,4977
+Z,NON_ESCAPE,0.0155,0.016,5190
+Z,NON_ESCAPE,0.016,0.0165,5214
+Z,NON_ESCAPE,0.0165,0.017,5372
+Z,NON_ESCAPE,0.017,0.0175,5492
+Z,NON_ESCAPE,0.0175,0.018,5666
+Z,NON_ESCAPE,0.018,0.0185,5867
+Z,NON_ESCAPE,0.0185,0.019,6114
+Z,NON_ESCAPE,0.019,0.0195,6144
+Z,NON_ESCAPE,0.0195,0.02,6308
+Z,NON_ESCAPE,0.02,0.0205,6501
+Z,NON_ESCAPE,0.0205,0.021,6701
+Z,NON_ESCAPE,0.021,0.0215,6927
+Z,NON_ESCAPE,0.0215,0.022,7106
+Z,NON_ESCAPE,0.022,0.0225,7001
+Z,NON_ESCAPE,0.0225,0.023,7275
+Z,NON_ESCAPE,0.023,0.0235,7411
+Z,NON_ESCAPE,0.0235,0.024,7633
