face,outcome,cos_bin_low,cos_bin_high,count
+Z,NON_ESCAPE,0.0,0.0005,91
+Z,NON_ESCAPE,0.0005,0.001,275
+Z,NON_ESCAPE,0.001,0.0015,490
+Z,NON_ESCAPE,0.0015,0.002,701
+Z,NON_ESCAPE,0.002,0.0025,883
+Z,NON_ESCAPE,0.0025,0.003,1036
+Z,NON_ESCAPE,0.003,0.0035,1284
+Z,NON_ESCAPE,0.0035,0.004,1528
+Z,NON_ESCAPE,0.004,0.0045,1743
+Z,NON_ESCAPE,0.0045,0.005,1890
+Z,NON_ESCAPE,0.005,0.0055,2060
+Z,NON_ESCAPE,0.0055,0.006,2293
+Z,NON_ESCAPE,0.006,0.0065,2592
+Z,NON_ESCAPE,0.0065,0.007,2687
+Z,NON_ESCAPE,0.007,0.0075,2889
+Z,NON_ESCAPE,0.0075,0.008,3075
+Z,NON_ESCAPE,0.008,0.0085,3214
+Z,NON_ESCAPE,0.0085,0.009,3523
+Z,NON_ESCAPE,0.009,0.0095,3725
+Z,NON_ESCAPE,0.0095,0.01,3971
+Z,NON_ESCAPE,0.01,0.0105,4178
+Z,NON_ESCAPE,0.0105,0.011,4380
+Z,NON_ESCAPE,0.011,0.0115,4696
+Z,NON_ESCAPE,0.0115,0.012,4691
+Z,NON_ESCAPE,0.012,0.0125,5072
+Z,NON_ESCAPE,0.0125,0.013,5089
+Z,NON_ESCAPE,0.013,0.0135,5275
+Z,NON_ESCAPE,0.0135,0.014,5587
+Z,NON_ESCAPE,0.014,0.0145,5721
+Z,NON_ESCAPE,0.0145,0.015,5854
+Z,NON_ESCAPE,0.015,0.0155,6035
+Z,NON_ESCAPE,0.0155,0.016,6169
+Z,NON_ESCAPE,0.016,0.0165,6419
+Z,NON_ESCAPE,0.0165,0.017,6421
+Z,NON_ESCAPE,0.017,0.0175,6734
+Z,NON_ESCAPE,0.0175,0.018,6923
+Z,NON_ESCAPE,0.018,0.0185,7182
+Z,NON_ESCAPE,0.0185,0.019,7308
+Z,NON_ESCAPE,0.019,0.0195,7357
+Z,NON_ESCAPE,0.0195,0.02,7565
+Z,NON_ESCAPE,0.02,0.0205,7740
+Z,NON_ESCAPE,0.0205,0.021,7893
+Z,NON_ESCAPE,0.021,0.0215,8346
+Z,NON_ESCAPE,0.0215,0.022,8277
+Z,NON_ESCAPE,0.022,0.0225,8490
+Z,NON_ESCAPE,0.0225,0.023,8539
+Z,NON_ESCAPE,0.023,0.0235,8550
+Z,NON_ESCAPE,0.0235,0.024,8784
+Z,NON_ESCAPE,0.024,0.0245,9132
+Z,NON_ESCAPE,0.0245,0.025,9180
+Z,NON_ESCAPE,0.025,0.0255,9410
+Z,NON_ESCAPE,0.0255,0.026,9472
+Z,NON_ESCAPE,0.026,0.0265,9613
+Z,NON_ESCAPE,0.0265,0.027,9749
+Z,NON_ESCAPE,0.027,0.0275,10018
+Z,NON_ESCAPE,0.0275,0.028,10269
+Z,NON_ESCAPE,0.028,0.0285,10336
+Z,NON_ESCAPE,0.0285,0.029,10246
+Z,NON_ESCAPE,0.029,0.0295,10415
+Z,NON_ESCAPE,0.0295,0.03,10675
+Z,NON_ESCAPE,0.03,0.0305,10711
+Z,NON_ESCAPE,0.0305,0.031,10995
+Z,NON_ESCAPE,0.031,0.0315,11184
+Z,NON_ESCAPE,0.0315,0.032,11207
+Z,NON_ESCAPE,0.032,0.0325,11393
+Z,NON_ESCAPE,0.0325,0.033,11299
+Z,NON_ESCAPE,0.033,0.0335,11589
+Z,NON_ESCAPE,0.0335,0.034,11805
+Z,NON_ESCAPE,0.034,0.0345,11914
+Z,NON_ESCAPE,0.0345,0.035,11958
+Z,NON_ESCAPE,0.035,0.0355,12029
+Z,NON_ESCAPE,0.0355,0.036,12363
+Z,NON_ESCAPE,0.036,0.0365,12389
+Z,NON_ESCAPE,0.0365,0.037,12603
+Z,NON_ESCAPE,0.037,0.0375,12793
+Z,NON_ESCAPE,0.0375,0.038,12854
+Z,NON_ESCAPE,0.038,0.0385,12667
+Z,NON_ESCAPE,0.0385,0.039,12953
+Z,NON_ESCAPE,0.039,0.0395,13079
+Z,NON_ESCAPE,0.0395,0.04,13410
+Z,NON_ESCAPE,0.04,0.0405,13366
+Z,NON_ESCAPE,0.0405,0.041,13627
+Z,NON_ESCAPE,0.041,0.0415,13718
+Z,NON_ESCAPE,0.0415,0.042,13795
+Z,NON_ESCAPE,0.042,0.0425,13922
+Z,NON_ESCAPE,0.0425,0.043,14205
+Z,NON_ESCAPE,0.043,0.0435,14272
+Z,NON_ESCAPE,0.0435,0.044,14603
+Z,NON_ESCAPE,0.044,0.0445,14398
+Z,NON_ESCAPE,0.0445,0.045,14523
+Z,NON_ESCAPE,0.045,0.0455,14748
+Z,NON_ESCAPE,0.0455,0.046,14759
+Z,NON_ESCAPE,0.046,0.0465,15042
+Z,NON_ESCAPE,0.0465,0.047,14904
+Z,NON_ESCAPE,0.047,0.0475,15389
+Z,NON_ESCAPE,0.0475,0.048,15287
+Z,NON_ESCAPE,0.048,0.0485,15495
+Z,NON_ESCAPE,0.0485,0.049,15732
+Z,NON_ESCAPE,0.049,0.0495,15711
+Z,NON_ESCAPE,0.0495,0.05,15917
+Z,NON_ESCAPE,0.05,0.0505,15838
+Z,NON_ESCAPE,0.0505,0.051,16058
+Z,NON_ESCAPE,0.051,0.0515,16213
+Z,NON_ESCAPE,0.0515,0.052,16114
+Z,NON_ESCAPE,0.052,0.0525,16419
+Z,NON_ESCAPE,0.0525,0.053,16542
+Z,NON_ESCAPE,0.053,0.0535,16664
+Z,NON_ESCAPE,0.0535,0.054,16681
+Z,NON_ESCAPE,0.054,0.0545,16773
+Z,NON_ESCAPE,0.0545,0.055,17148
+Z,NON_ESCAPE,0.055,0.0555,17037
+Z,NON_ESCAPE,0.0555,0.056,17024
+Z,NON_ESCAPE,0.056,0.0565,17291
+Z,NON_ESCAPE,0.0565,0.057,17914
+Z,NON_ESCAPE,0.057,0.0575,17372
+Z,NON_ESCAPE,0.0575,0.058,17649
+Z,NON_ESCAPE,0.058,0.0585,17732
+Z,NON_ESCAPE,0.0585,0.059,18133
+Z,NON_ESCAPE,0.059,0.0595,17924
+Z,NON_ESCAPE,0.0595,0.06,18238
+Z,NON_ESCAPE,0.06,0.0605,18114
+Z,NON_ESCAPE,0.0605,0.061,18425
+Z,NON_ESCAPE,0.061,0.0615,18497
+Z,NON_ESCAPE,0.0615,0.062,18541
+Z,NON_ESCAPE,0.062,0.0625,18455
+Z,NON_ESCAPE,0.0625,0.063,18601
+Z,NON_ESCAPE,0.063,0.0635,18735
+Z,NON_ESCAPE,0.0635,0.064,19059
+Z,NON_ESCAPE,0.064,0.0645,19227
+Z,NON_ESCAPE,0.0645,0.065,19282
+Z,NON_ESCAPE,0.065,0.0655,19498
+Z,NON_ESCAPE,0.0655,0.066,19502
+Z,NON_ESCAPE,0.066,0.0665,19657
+Z,NON_ESCAPE,0.0665,0.067,19575
+Z,NON_ESCAPE,0.067,0.0675,19698
+Z,NON_ESCAPE,0.0675,0.068,19960
