material,pulse_model,cfd_fraction,extreme,path_over_daxial_exact,path_over_daxial_from_theta_median,v_group_MPT_mm_ns,v_implied_mm_ns,reference_experimental_theta_deg
EJ-200,fast_contrast,0.14,L,NOT_AVAILABLE,1.1393956034950015,166.198,145.86505291946136,35.4
EJ-200,fast_contrast,0.14,R,NOT_AVAILABLE,1.1397293651180485,166.198,145.82233737812476,35.4
EJ-200,fast_contrast,0.24,L,NOT_AVAILABLE,1.168237276625406,166.198,142.26390761993395,35.4
EJ-200,fast_contrast,0.24,R,NOT_AVAILABLE,1.1688514045994969,166.198,142.18916052630934,35.4
EJ-200,fastic_measured,0.14,L,NOT_AVAILABLE,1.1923893731203439,166.198,139.38232237434255,35.4
EJ-200,fastic_measured,0.14,R,NOT_AVAILABLE,1.1924726028085726,166.198,139.3725940609134,35.4
EJ-200,fastic_measured,0.24,L,NOT_AVAILABLE,1.2297949940526713,166.198,135.14284966497584,35.4
EJ-200,fastic_measured,0.24,R,NOT_AVAILABLE,1.23005906864831,166.198,135.1138365921175,35.4
EJ-200,penarodriguez_shortened,0.14,L,NOT_AVAILABLE,1.1923893731203439,166.198,139.38232237434255,35.4
EJ-200,penarodriguez_shortened,0.14,R,NOT_AVAILABLE,1.1924726028085726,166.198,139.3725940609134,35.4
EJ-200,penarodriguez_shortened,0.24,L,NOT_AVAILABLE,1.2297949940526713,166.198,135.14284966497584,35.4
EJ-200,penarodriguez_shortened,0.24,R,NOT_AVAILABLE,1.23005906864831,166.198,135.1138365921175,35.4
EJ-204,fast_contrast,0.14,L,NOT_AVAILABLE,1.135610842953366,171.893,151.3661137233953,35.4
EJ-204,fast_contrast,0.14,R,NOT_AVAILABLE,1.1361216645469254,171.893,151.2980566817633,35.4
EJ-204,fast_contrast,0.24,L,NOT_AVAILABLE,1.1623577627393515,171.893,147.88304041166842,35.4
EJ-204,fast_contrast,0.24,R,NOT_AVAILABLE,1.1615884587503276,171.893,147.98098130634645,35.4
EJ-204,fastic_measured,0.14,L,NOT_AVAILABLE,1.1883840592476913,171.893,144.64431650893835,35.4
EJ-204,fastic_measured,0.14,R,NOT_AVAILABLE,1.1889607632898571,171.893,144.57415695062272,35.4
EJ-204,fastic_measured,0.24,L,NOT_AVAILABLE,1.2233725881916495,171.893,140.50748043495628,35.4
EJ-204,fastic_measured,0.24,R,NOT_AVAILABLE,1.2250809652297567,171.893,140.3115425663009,35.4
EJ-204,penarodriguez_shortened,0.14,L,NOT_AVAILABLE,1.1883840592476913,171.893,144.64431650893835,35.4
EJ-204,penarodriguez_shortened,0.14,R,NOT_AVAILABLE,1.1889607632898571,171.893,144.57415695062272,35.4
EJ-204,penarodriguez_shortened,0.24,L,NOT_AVAILABLE,1.2233725881916495,171.893,140.50748043495628,35.4
EJ-204,penarodriguez_shortened,0.24,R,NOT_AVAILABLE,1.2250809652297567,171.893,140.3115425663009,35.4
EJ-230,fast_contrast,0.14,L,NOT_AVAILABLE,1.128790812995732,189.74206202531644,168.09320189429454,35.4
EJ-230,fast_contrast,0.14,R,NOT_AVAILABLE,1.128261565457096,189.74206202531644,168.1720514413213,35.4
EJ-230,fast_contrast,0.24,L,NOT_AVAILABLE,1.1575913298737293,189.74206202531644,163.9110946399483,35.4
EJ-230,fast_contrast,0.24,R,NOT_AVAILABLE,1.1572945333663405,189.74206202531644,163.95313081916527,35.4
EJ-230,fastic_measured,0.14,L,NOT_AVAILABLE,1.1813407034592722,189.74206202531644,160.61586760678136,35.4
EJ-230,fastic_measured,0.14,R,NOT_AVAILABLE,1.1830530638113415,189.74206202531644,160.3833909309533,35.4
EJ-230,fastic_measured,0.24,L,NOT_AVAILABLE,1.2245748199629884,189.74206202531644,154.94525849474124,35.4
EJ-230,fastic_measured,0.24,R,NOT_AVAILABLE,1.2257615654503446,189.74206202531644,154.7952451548807,35.4
EJ-230,penarodriguez_shortened,0.14,L,NOT_AVAILABLE,1.1813407034592722,189.74206202531644,160.61586760678136,35.4
EJ-230,penarodriguez_shortened,0.14,R,NOT_AVAILABLE,1.1830530638113415,189.74206202531644,160.3833909309533,35.4
EJ-230,penarodriguez_shortened,0.24,L,NOT_AVAILABLE,1.2245748199629884,189.74206202531644,154.94525849474124,35.4
EJ-230,penarodriguez_shortened,0.24,R,NOT_AVAILABLE,1.2257615654503446,189.74206202531644,154.7952451548807,35.4
