face,outcome,cos_bin_low,cos_bin_high,count
+Z,NON_ESCAPE,0.0,0.0005,82
+Z,NON_ESCAPE,0.0005,0.001,260
+Z,NON_ESCAPE,0.001,0.0015,449
+Z,NON_ESCAPE,0.0015,0.002,661
+Z,NON_ESCAPE,0.002,0.0025,820
+Z,NON_ESCAPE,0.0025,0.003,983
+Z,NON_ESCAPE,0.003,0.0035,1186
+Z,NON_ESCAPE,0.0035,0.004,1423
+Z,NON_ESCAPE,0.004,0.0045,1644
+Z,NON_ESCAPE,0.0045,0.005,1771
+Z,NON_ESCAPE,0.005,0.0055,1948
+Z,NON_ESCAPE,0.0055,0.006,2135
+Z,NON_ESCAPE,0.006,0.0065,2390
+Z,NON_ESCAPE,0.0065,0.007,2525
+Z,NON_ESCAPE,0.007,0.0075,2667
+Z,NON_ESCAPE,0.0075,0.008,2862
+Z,NON_ESCAPE,0.008,0.0085,2985
+Z,NON_ESCAPE,0.0085,0.009,3280
+Z,NON_ESCAPE,0.009,0.0095,3447
+Z,NON_ESCAPE,0.0095,0.01,3542
+Z,NON_ESCAPE,0.01,0.0105,3786
+Z,NON_ESCAPE,0.0105,0.011,3968
+Z,NON_ESCAPE,0.011,0.0115,4140
+Z,NON_ESCAPE,0.0115,0.012,4290
+Z,NON_ESCAPE,0.012,0.0125,4426
+Z,NON_ESCAPE,0.0125,0.013,4543
+Z,NON_ESCAPE,0.013,0.0135,4784
+Z,NON_ESCAPE,0.0135,0.014,4971
+Z,NON_ESCAPE,0.014,0.0145,5076
+Z,NON_ESCAPE,0.0145,0.015,5242
+Z,NON_ESCAPE,0.015,0.0155,5426
+Z,NON_ESCAPE,0.0155,0.016,5523
+Z,NON_ESCAPE,0.016,0.0165,5718
+Z,NON_ESCAPE,0.0165,0.017,5862
+Z,NON_ESCAPE,0.017,0.0175,5996
+Z,NON_ESCAPE,0.0175,0.018,6223
+Z,NON_ESCAPE,0.018,0.0185,6337
+Z,NON_ESCAPE,0.0185,0.019,6530
+Z,NON_ESCAPE,0.019,0.0195,6711
+Z,NON_ESCAPE,0.0195,0.02,6788
+Z,NON_ESCAPE,0.02,0.0205,6872
+Z,NON_ESCAPE,0.0205,0.021,7168
+Z,NON_ESCAPE,0.021,0.0215,7538
+Z,NON_ESCAPE,0.0215,0.022,7535
+Z,NON_ESCAPE,0.022,0.0225,7752
+Z,NON_ESCAPE,0.0225,0.023,7641
+Z,NON_ESCAPE,0.023,0.0235,7947
+Z,NON_ESCAPE,0.0235,0.024,8144
+Z,NON_ESCAPE,0.024,0.0245,8291
+Z,NON_ESCAPE,0.0245,0.025,8532
+Z,NON_ESCAPE,0.025,0.0255,8610
+Z,NON_ESCAPE,0.0255,0.026,8712
+Z,NON_ESCAPE,0.026,0.0265,8971
+Z,NON_ESCAPE,0.0265,0.027,8896
+Z,NON_ESCAPE,0.027,0.0275,9256
+Z,NON_ESCAPE,0.0275,0.028,9358
+Z,NON_ESCAPE,0.028,0.0285,9415
+Z,NON_ESCAPE,0.0285,0.029,9537
+Z,NON_ESCAPE,0.029,0.0295,9734
+Z,NON_ESCAPE,0.0295,0.03,10019
+Z,NON_ESCAPE,0.03,0.0305,9994
+Z,NON_ESCAPE,0.0305,0.031,10372
+Z,NON_ESCAPE,0.031,0.0315,10422
+Z,NON_ESCAPE,0.0315,0.032,10586
+Z,NON_ESCAPE,0.032,0.0325,10634
+Z,NON_ESCAPE,0.0325,0.033,10852
+Z,NON_ESCAPE,0.033,0.0335,10998
+Z,NON_ESCAPE,0.0335,0.034,11141
+Z,NON_ESCAPE,0.034,0.0345,11171
+Z,NON_ESCAPE,0.0345,0.035,11462
+Z,NON_ESCAPE,0.035,0.0355,11697
+Z,NON_ESCAPE,0.0355,0.036,11755
+Z,NON_ESCAPE,0.036,0.0365,11856
+Z,NON_ESCAPE,0.0365,0.037,12065
+Z,NON_ESCAPE,0.037,0.0375,12270
+Z,NON_ESCAPE,0.0375,0.038,12413
+Z,NON_ESCAPE,0.038,0.0385,12229
+Z,NON_ESCAPE,0.0385,0.039,12706
+Z,NON_ESCAPE,0.039,0.0395,12606
+Z,NON_ESCAPE,0.0395,0.04,12882
+Z,NON_ESCAPE,0.04,0.0405,13189
+Z,NON_ESCAPE,0.0405,0.041,13239
+Z,NON_ESCAPE,0.041,0.0415,13250
+Z,NON_ESCAPE,0.0415,0.042,13469
+Z,NON_ESCAPE,0.042,0.0425,13598
+Z,NON_ESCAPE,0.0425,0.043,13627
+Z,NON_ESCAPE,0.043,0.0435,13950
+Z,NON_ESCAPE,0.0435,0.044,14087
+Z,NON_ESCAPE,0.044,0.0445,14153
+Z,NON_ESCAPE,0.0445,0.045,14421
+Z,NON_ESCAPE,0.045,0.0455,14387
+Z,NON_ESCAPE,0.0455,0.046,14488
+Z,NON_ESCAPE,0.046,0.0465,14632
+Z,NON_ESCAPE,0.0465,0.047,14915
+Z,NON_ESCAPE,0.047,0.0475,15214
+Z,NON_ESCAPE,0.0475,0.048,15335
+Z,NON_ESCAPE,0.048,0.0485,15441
+Z,NON_ESCAPE,0.0485,0.049,15609
+Z,NON_ESCAPE,0.049,0.0495,15725
+Z,NON_ESCAPE,0.0495,0.05,15724
+Z,NON_ESCAPE,0.05,0.0505,15640
+Z,NON_ESCAPE,0.0505,0.051,16013
+Z,NON_ESCAPE,0.051,0.0515,16243
