face,outcome,cos_bin_low,cos_bin_high,count
+Z,NON_ESCAPE,0.0,0.0005,64
+Z,NON_ESCAPE,0.0005,0.001,204
+Z,NON_ESCAPE,0.001,0.0015,354
+Z,NON_ESCAPE,0.0015,0.002,499
+Z,NON_ESCAPE,0.002,0.0025,658
+Z,NON_ESCAPE,0.0025,0.003,778
+Z,NON_ESCAPE,0.003,0.0035,947
+Z,NON_ESCAPE,0.0035,0.004,1110
+Z,NON_ESCAPE,0.004,0.0045,1232
+Z,NON_ESCAPE,0.0045,0.005,1305
+Z,NON_ESCAPE,0.005,0.0055,1508
+Z,NON_ESCAPE,0.0055,0.006,1656
+Z,NON_ESCAPE,0.006,0.0065,1798
+Z,NON_ESCAPE,0.0065,0.007,1936
+Z,NON_ESCAPE,0.007,0.0075,2088
+Z,NON_ESCAPE,0.0075,0.008,2159
+Z,NON_ESCAPE,0.008,0.0085,2327
+Z,NON_ESCAPE,0.0085,0.009,2436
+Z,NON_ESCAPE,0.009,0.0095,2712
+Z,NON_ESCAPE,0.0095,0.01,2705
+Z,NON_ESCAPE,0.01,0.0105,2927
+Z,NON_ESCAPE,0.0105,0.011,3040
+Z,NON_ESCAPE,0.011,0.0115,3183
+Z,NON_ESCAPE,0.0115,0.012,3157
+Z,NON_ESCAPE,0.012,0.0125,3486
+Z,NON_ESCAPE,0.0125,0.013,3541
+Z,NON_ESCAPE,0.013,0.0135,3688
+Z,NON_ESCAPE,0.0135,0.014,3843
+Z,NON_ESCAPE,0.014,0.0145,3831
+Z,NON_ESCAPE,0.0145,0.015,4113
+Z,NON_ESCAPE,0.015,0.0155,4101
+Z,NON_ESCAPE,0.0155,0.016,4361
+Z,NON_ESCAPE,0.016,0.0165,4352
+Z,NON_ESCAPE,0.0165,0.017,4433
+Z,NON_ESCAPE,0.017,0.0175,4590
+Z,NON_ESCAPE,0.0175,0.018,4678
+Z,NON_ESCAPE,0.018,0.0185,4902
+Z,NON_ESCAPE,0.0185,0.019,5130
+Z,NON_ESCAPE,0.019,0.0195,5193
+Z,NON_ESCAPE,0.0195,0.02,5288
+Z,NON_ESCAPE,0.02,0.0205,5424
+Z,NON_ESCAPE,0.0205,0.021,5602
+Z,NON_ESCAPE,0.021,0.0215,5722
+Z,NON_ESCAPE,0.0215,0.022,5904
+Z,NON_ESCAPE,0.022,0.0225,5874
+Z,NON_ESCAPE,0.0225,0.023,5973
+Z,NON_ESCAPE,0.023,0.0235,6078
+Z,NON_ESCAPE,0.0235,0.024,6287
+Z,NON_ESCAPE,0.024,0.0245,6333
+Z,NON_ESCAPE,0.0245,0.025,6430
+Z,NON_ESCAPE,0.025,0.0255,6720
+Z,NON_ESCAPE,0.0255,0.026,6963
+Z,NON_ESCAPE,0.026,0.0265,6888
+Z,NON_ESCAPE,0.0265,0.027,6836
+Z,NON_ESCAPE,0.027,0.0275,7213
+Z,NON_ESCAPE,0.0275,0.028,7444
+Z,NON_ESCAPE,0.028,0.0285,7354
+Z,NON_ESCAPE,0.0285,0.029,7550
+Z,NON_ESCAPE,0.029,0.0295,7414
+Z,NON_ESCAPE,0.0295,0.03,7533
+Z,NON_ESCAPE,0.03,0.0305,7904
+Z,NON_ESCAPE,0.0305,0.031,8020
+Z,NON_ESCAPE,0.031,0.0315,7919
+Z,NON_ESCAPE,0.0315,0.032,8267
+Z,NON_ESCAPE,0.032,0.0325,8379
+Z,NON_ESCAPE,0.0325,0.033,8365
+Z,NON_ESCAPE,0.033,0.0335,8420
+Z,NON_ESCAPE,0.0335,0.034,8668
+Z,NON_ESCAPE,0.034,0.0345,8869
+Z,NON_ESCAPE,0.0345,0.035,8886
+Z,NON_ESCAPE,0.035,0.0355,9040
+Z,NON_ESCAPE,0.0355,0.036,9065
+Z,NON_ESCAPE,0.036,0.0365,9058
+Z,NON_ESCAPE,0.0365,0.037,9301
+Z,NON_ESCAPE,0.037,0.0375,9446
+Z,NON_ESCAPE,0.0375,0.038,9545
+Z,NON_ESCAPE,0.038,0.0385,9547
+Z,NON_ESCAPE,0.0385,0.039,9718
+Z,NON_ESCAPE,0.039,0.0395,9773
+Z,NON_ESCAPE,0.0395,0.04,9772
+Z,NON_ESCAPE,0.04,0.0405,9905
+Z,NON_ESCAPE,0.0405,0.041,10092
+Z,NON_ESCAPE,0.041,0.0415,10206
+Z,NON_ESCAPE,0.0415,0.042,10455
+Z,NON_ESCAPE,0.042,0.0425,10465
+Z,NON_ESCAPE,0.0425,0.043,10461
+Z,NON_ESCAPE,0.043,0.0435,10655
+Z,NON_ESCAPE,0.0435,0.044,10759
+Z,NON_ESCAPE,0.044,0.0445,10888
+Z,NON_ESCAPE,0.0445,0.045,11101
+Z,NON_ESCAPE,0.045,0.0455,11165
+Z,NON_ESCAPE,0.0455,0.046,11225
+Z,NON_ESCAPE,0.046,0.0465,11172
+Z,NON_ESCAPE,0.0465,0.047,11492
+Z,NON_ESCAPE,0.047,0.0475,11649
+Z,NON_ESCAPE,0.0475,0.048,11685
+Z,NON_ESCAPE,0.048,0.0485,11763
+Z,NON_ESCAPE,0.0485,0.049,12029
+Z,NON_ESCAPE,0.049,0.0495,12033
+Z,NON_ESCAPE,0.0495,0.05,11979
+Z,NON_ESCAPE,0.05,0.0505,12267
+Z,NON_ESCAPE,0.0505,0.051,12268
+Z,NON_ESCAPE,0.051,0.0515,12237
+Z,NON_ESCAPE,0.0515,0.052,12696
+Z,NON_ESCAPE,0.052,0.0525,12672
+Z,NON_ESCAPE,0.0525,0.053,12691
+Z,NON_ESCAPE,0.053,0.0535,12573
+Z,NON_ESCAPE,0.0535,0.054,12821
+Z,NON_ESCAPE,0.054,0.0545,12774
+Z,NON_ESCAPE,0.0545,0.055,13221
+Z,NON_ESCAPE,0.055,0.0555,13061
+Z,NON_ESCAPE,0.0555,0.056,13470
+Z,NON_ESCAPE,0.056,0.0565,13519
+Z,NON_ESCAPE,0.0565,0.057,13526
+Z,NON_ESCAPE,0.057,0.0575,13400
+Z,NON_ESCAPE,0.0575,0.058,13672
+Z,NON_ESCAPE,0.058,0.0585,13667
+Z,NON_ESCAPE,0.0585,0.059,13966
+Z,NON_ESCAPE,0.059,0.0595,13968
+Z,NON_ESCAPE,0.0595,0.06,14035
+Z,NON_ESCAPE,0.06,0.0605,14114
+Z,NON_ESCAPE,0.0605,0.061,14571
+Z,NON_ESCAPE,0.061,0.0615,14314
+Z,NON_ESCAPE,0.0615,0.062,14572
+Z,NON_ESCAPE,0.062,0.0625,14788
+Z,NON_ESCAPE,0.0625,0.063,14805
+Z,NON_ESCAPE,0.063,0.0635,14775
+Z,NON_ESCAPE,0.0635,0.064,14933
+Z,NON_ESCAPE,0.064,0.0645,14997
+Z,NON_ESCAPE,0.0645,0.065,15117
+Z,NON_ESCAPE,0.065,0.0655,15376
+Z,NON_ESCAPE,0.0655,0.066,15319
+Z,NON_ESCAPE,0.066,0.0665,15479
+Z,NON_ESCAPE,0.0665,0.067,15686
+Z,NON_ESCAPE,0.067,0.0675,15420
+Z,NON_ESCAPE,0.0675,0.068,15902
+Z,NON_ESCAPE,0.068,0.0685,15743
+Z,NON_ESCAPE,0.0685,0.069,16022
+Z,NON_ESCAPE,0.069,0.0695,16270
+Z,NON_ESCAPE,0.0695,0.07,16112
+Z,NON_ESCAPE,0.07,0.0705,16229
+Z,NON_ESCAPE,0.0705,0.071,16453
